error_type,identifier,predicted_score,true_label
false_positive,REAL/0026 (8).jpg,0.9727,0
false_positive,REAL/0007.jpg,0.9694,0
false_positive,REAL/0013 (10).jpg,0.9612,0
false_positive,REAL/0018 (4).jpg,0.9452,0
false_positive,REAL/0039 (10).jpg,0.9417,0
false_positive,REAL/0005 (4).jpg,0.9322,0
false_positive,REAL/0001 (3).jpg,0.928,0
false_positive,REAL/0036 (9).jpg,0.8587,0
false_positive,REAL/0049 (2).jpg,0.8098,0
false_positive,REAL/0019 (9).jpg,0.7789,0
false_negative,FAKE/137.jpg,0.0027,1
false_negative,FAKE/102 (9).jpg,0.0331,1
false_negative,FAKE/106 (3).jpg,0.0772,1
false_negative,FAKE/117 (3).jpg,0.1544,1
false_negative,FAKE/125 (8).jpg,0.3473,1
