image_path,pred,true_label,predicted_label,correct
REAL\0000 (10).jpg,0.0004,0,0,True
REAL\0000 (2).jpg,0.001,0,0,True
REAL\0000 (3).jpg,0.0034,0,0,True
REAL\0000 (4).jpg,0.0483,0,0,True
REAL\0000 (5).jpg,0.0245,0,0,True
REAL\0000 (6).jpg,0.0026,0,0,True
REAL\0000 (7).jpg,0.0001,0,0,True
REAL\0000 (8).jpg,0.0508,0,0,True
REAL\0000 (9).jpg,0.0249,0,0,True
REAL\0000.jpg,0.001,0,0,True
REAL\0001 (10).jpg,0.0154,0,0,True
REAL\0001 (2).jpg,0.0002,0,0,True
REAL\0001 (3).jpg,0.8868,0,1,False
REAL\0001 (4).jpg,0.0001,0,0,True
REAL\0001 (5).jpg,0.0043,0,0,True
REAL\0001 (6).jpg,0.0768,0,0,True
REAL\0001 (7).jpg,0.0095,0,0,True
REAL\0001 (8).jpg,0.0006,0,0,True
REAL\0001 (9).jpg,0.0016,0,0,True
REAL\0001.jpg,0.0027,0,0,True
REAL\0002 (10).jpg,0.0025,0,0,True
REAL\0002 (2).jpg,0.0001,0,0,True
REAL\0002 (3).jpg,0.0003,0,0,True
REAL\0002 (4).jpg,0.0001,0,0,True
REAL\0002 (5).jpg,0.0003,0,0,True
REAL\0002 (6).jpg,0.0006,0,0,True
REAL\0002 (7).jpg,0.0013,0,0,True
REAL\0002 (8).jpg,0.0002,0,0,True
REAL\0002 (9).jpg,0.0008,0,0,True
REAL\0002.jpg,0.0026,0,0,True
REAL\0003 (10).jpg,0.0005,0,0,True
REAL\0003 (2).jpg,0.0003,0,0,True
REAL\0003 (3).jpg,0.0027,0,0,True
REAL\0003 (4).jpg,0.0003,0,0,True
REAL\0003 (5).jpg,0.0025,0,0,True
REAL\0003 (6).jpg,0.0851,0,0,True
REAL\0003 (7).jpg,0.0005,0,0,True
REAL\0003 (8).jpg,0.0001,0,0,True
REAL\0003 (9).jpg,0.0006,0,0,True
REAL\0003.jpg,0.0006,0,0,True
REAL\0004 (10).jpg,0.0097,0,0,True
REAL\0004 (2).jpg,0.0986,0,0,True
REAL\0004 (3).jpg,0.0038,0,0,True
REAL\0004 (4).jpg,0.0047,0,0,True
REAL\0004 (5).jpg,0.0371,0,0,True
REAL\0004 (6).jpg,0.0003,0,0,True
REAL\0004 (7).jpg,0.0029,0,0,True
REAL\0004 (8).jpg,0.0016,0,0,True
REAL\0004 (9).jpg,0.02,0,0,True
REAL\0004.jpg,0.6812,0,1,False
REAL\0005 (10).jpg,0.0008,0,0,True
REAL\0005 (2).jpg,0.0001,0,0,True
REAL\0005 (3).jpg,0.9961,0,1,False
REAL\0005 (4).jpg,0.9708,0,1,False
REAL\0005 (5).jpg,0.0003,0,0,True
REAL\0005 (6).jpg,0.0053,0,0,True
REAL\0005 (7).jpg,0.0006,0,0,True
REAL\0005 (8).jpg,0.0061,0,0,True
REAL\0005 (9).jpg,0.001,0,0,True
REAL\0005.jpg,0.0011,0,0,True
REAL\0006 (10).jpg,0.0005,0,0,True
